ID Φορέα,Φορέας,ID Ειδικού Φορέα,Ειδικός Φορέας,ΚΑΕ,ΚΑΕ λεπτομέρειες,Ψηφ.Προϋπολογισμος 2013,Πληρωμές 2013,Ψηφ.Προϋπολογισμος 2014,Διαμόρφωση 2014,Αυξήσεις 2014,Μειώσεις 2014,Ποσό Διάθεσης 2014,Ποσοστό διάθεσης 2014,Πληρωμές 2014,Εντάλματα 2014
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0111,Χορηγία του Προέδρου της Δημοκρατίας,139.00,136.93,137.00,137.00,,,137.00,100.00%,57.06,57.06
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0114,Εξοδα παράστασης όσων διετέλεσαν Πρόεδροι Δημο,139.00,136.93,137.00,137.00,,,137.00,100.00%,57.06,57.06
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0211,Βασικός μισθός,1.070.00,1.142.91,1.080.00,1.080.00,,,1.080.00,100.00%,568.69,568.69
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0212,Επίδομα χρόνου υπηρεσίας,4.00,1.49,4.00,4.00,,,4.00,100.00%,,
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0213,Οικογενειακή παροχή,32.00,27.74,32.00,32.00,,,32.00,100.00%,11.14,11.14
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0215,Επίδομα θέσης ευθύνης,33.00,44.40,45.00,45.00,,,45.00,100.00%,19.09,19.09
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0217,Κίνητρο απόδοσης,6.00,,,,,,,,,
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0221,Μισθολογικές διαφορές βάσει ενιαίου μισθολογίου-βαθμολογίου,21.00,17.27,21.00,21.00,,,21.00,100.00%,8.62,8.62
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0229,Λοιπά ειδικά επιδόματα,380.00,3.81,380.00,380.00,,,380.00,100.00%,1.50,1.50
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0283,Αποζημίωση προσωπικού που απολύεται. συνταξιοδοτείται ή κατα,4.00,4.35,5.00,5.00,,,5.00,100.00%,3.03,3.03
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0289,Λοιπές αποζημιώσεις,90.00,,,,,,,,,
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0291,Εισφορές στο ΙΚΑ,220.00,198.62,200.00,200.00,,,200.00,100.00%,100.23,100.23
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0292,Εισφορές σε λοιπούς ασφαλιστικούς οργανισμούς,23.00,21.85,20.00,20.00,,,20.00,100.00%,13.67,13.67
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0293,Εργοδοτική Εισφορά υπέρ ΕΟΠΥΥ (παρ.1β. αρθρ.19. ν.3918/2011),40.00,32.70,36.00,36.00,,,36.00,100.00%,14.89,14.89
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0439,Λοιπά ειδικά επιδόματα,630.00,0.84,500.00,500.00,,,500.00,100.00%,,
000/01,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,100,Γενικές δαπάνες,Ξ0511,Αποζημίωση για υπερωριακή εργασία,178.00,124.72,170.00,170.00,,,85.00,50.00%,49.07,49.07
